input,elevation
"42.247049, -71.808366",138
"42.237604, -71.875838",232
"42.296798, -71.928991",338
"42.319587, -71.442800",66
"42.282379, -71.436621",58
"42.519816, -71.429283",83
"42.485985, -71.520985",100
"42.483953, -71.438495",80
"42.257755, -71.473526",73
"42.499295, -71.281889",59
"42.456748, -71.279484",42
"42.439941, -71.601879",169
"42.536620, -71.361832",97
"42.462911, -71.364496",74
"42.292114, -71.499197",123
"42.195951, -71.453430",115
"42.123007, -71.531404",95
"42.224096, -71.540489",105
"42.389071, -71.545864",78
"42.349617, -71.547214",138
"42.425955, -71.456256",70
"42.093870, -71.544519",114
"42.158692, -71.521419",87
"42.284822, -71.348811",53
"42.231947, -71.372963",56
"42.302877, -71.530828",82
"42.425506, -71.310812",71
"42.429688, -71.512514",67
"42.383367, -71.421070",60
"42.343687, -71.381186",36
"42.488769, -71.154438",38
"42.503227, -71.201713",56
"42.648044, -71.161751",37
"42.549330, -71.251725",63
"42.590790, -71.355182",71
"42.679723, -71.300680",64
"42.676149, -71.499772",72
"42.796313, -71.053436",58
"42.791114, -71.132859",48
"42.727879, -70.982036",48
"42.753900, -71.015935",48
"42.751233, -71.094300",44
"42.706763, -71.160403",21
"42.712015, -71.164873",23
"42.689974, -71.160383",21
"42.742468, -71.179218",48
"42.673909, -71.091334",62
"42.656045, -71.303309",33
"42.627812, -71.335330",62
"42.631912, -71.296025",73
"42.649481, -71.348229",51
"42.838603, -71.011997",39
"42.578543, -71.295592",38
"42.633780, -71.389470",37
"42.578222, -71.084398",51
"42.535183, -71.105423",37
"42.611801, -71.227571",40
"42.667762, -71.428820",48
"42.501524, -71.067489",28
"42.585541, -71.440250",107
"42.564647, -71.164516",29
"42.452752, -71.144319",21
"42.460419, -70.946379",10
"42.471039, -70.941535",33
"42.492456, -70.973930",30
"42.465998, -70.975792",8
"42.468432, -71.013946",19
"42.474145, -70.906597",31
"42.428256, -70.926041",22
"42.851293, -70.955810",34
"42.570665, -70.867583",44
"42.683108, -71.018330",51
"42.757313, -70.914241",3
"42.574174, -70.950516",28
"42.640420, -70.771172",10
"42.619910, -70.681824",0
"42.585723, -70.984051",24
"42.683860, -70.842666",17
"42.534146, -71.038333",46
"42.576636, -70.767154",10
"42.501835, -70.859126",20
"42.606666, -71.010316",21
"42.812358, -70.891095",26
"42.773351, -70.850211",5
"42.844793, -70.841476",3
"42.534279, -70.969782",57
"42.640715, -70.620248",42
"42.720873, -70.891220",33
"42.524435, -70.870859",0
"42.626223, -70.857230",26
"42.641379, -70.943440",50
"42.600633, -70.883303",33
"42.799565, -70.964428",67
"42.076682, -71.474490",111
"42.175737, -71.125385",67
"42.236423, -70.814436",37
"42.246872, -71.179462",42
"42.234160, -71.291167",69
"42.156882, -71.216187",47
"42.061338, -71.245802",89
"42.084858, -71.410571",77
"42.216098, -70.881270",17
"42.292253, -70.923919",0
"42.133914, -70.686037",0
"42.017302, -71.216410",49
"42.115139, -70.710331",40
"42.184599, -71.305307",58
"42.156203, -71.430345",70
"42.173091, -71.363751",53
"42.113655, -71.334163",86
"42.164569, -70.818844",44
"42.187360, -71.195955",28
"42.202273, -70.758184",38
"42.107600, -71.181828",84
"42.103425, -71.273589",70
"42.119006, -71.103650",70
"42.146694, -71.270532",64
"42.219645, -71.216769",75
"42.052671, -71.356858",85
"42.357768, -71.064858",45
"42.367032, -71.050493",4
"42.361962, -71.047846",0
"42.350518, -71.059077",14
"42.365331, -71.055233",14
"42.363174, -71.068646",40
"42.337105, -71.105696",15
"42.350579, -71.076397",23
"42.337582, -71.070482",13
"42.324029, -71.085017",35
"42.332090, -71.096545",14
"42.306267, -71.085897",50
"42.291413, -71.042158",5
"42.285805, -71.070571",25
"42.315682, -71.055555",14
"42.274227, -71.097423",24
"42.334992, -71.039093",20
"42.361129, -71.006975",6
"42.379657, -71.061487",20
"42.309174, -71.113835",28
"42.284333, -71.126228",22
"42.280455, -71.162017",43
"42.358016, -71.128608",6
"42.349688, -71.153964",30
"42.255083, -71.129220",24
"42.379637, -71.135152",25
"42.362986, -71.103353",8
"42.392157, -71.133996",6
"42.370300, -71.082560",20
"42.361471, -71.081994",12
"42.381409, -71.096714",10
"42.399655, -71.122550",14
"42.391577, -71.089910",9
"42.429380, -71.058706",7
"42.405938, -71.054649",15
"42.396824, -71.031348",11
"42.418290, -71.001251",9
"42.373055, -70.974807",6
"42.423840, -71.107673",18
"42.366168, -71.122850",13
"42.248386, -71.002279",12
"42.266415, -71.015576",7
"42.293310, -71.018208",3
"42.455723, -71.059019",31
"42.474208, -71.097665",51
"42.206188, -71.002320",37
"42.241557, -71.082432",43
"42.204578, -70.957749",44
"42.209776, -70.928189",33
"42.166731, -70.952363",54
"42.243453, -70.942033",17
"42.347476, -71.082035",12
"42.360598, -71.058775",13
"42.347472, -71.039271",5
"42.347635, -71.103082",12
"42.078371, -71.042304",45
"42.088907, -70.998375",36
"42.132460, -71.054013",84
"41.972387, -70.978778",35
"41.878644, -70.743198",34
"42.044325, -70.706075",13
"42.037278, -70.940459",26
"42.002811, -70.863473",22
"42.122956, -70.856310",37
"42.050464, -70.867418",27
"42.140244, -70.997347",70
"41.878004, -70.869267",35
"41.834412, -70.957163",51
"42.119964, -70.957216",57
"42.060532, -71.119676",68
"42.054978, -71.080651",48
"42.067804, -70.805713",18
"41.882056, -70.631290",57
"41.987196, -70.741942",31
