input,elevation
"46.035043,-112.475720",2198
"46.045687,-112.537462",1931
"45.065271,-112.067962",1935
"46.094962,-113.140153",2716
"46.700778,-112.561064",1897
"45.980279,-111.129807",1550
"45.825929,-110.898032",1885
"45.066933,-111.489684",2932
"45.576265,-111.118089",1646
"44.858164,-111.729967",2832
"45.883065,-111.837159",1649
"46.366483,-112.772501",1437
"44.696258,-112.762063",2592
"45.098017,-112.821472",1853
"45.799440,-112.830929",2261
"46.508912,-112.434837",1891
"45.293720,-111.649073",1670
"45.208255,-111.128749",2614
"46.582196,-112.779625",1663
"45.485220,-112.727015",1634
"46.492252,-112.941615",1618
"45.616492,-111.963356",2357
"45.319448,-113.373157",2029
"44.632621,-112.184888",2018
"45.483057,-111.827924",1898
"45.769824,-111.368344",1416
"45.680410,-112.680338",1698
"45.595195,-111.614802",1505
"45.388798,-113.061194",2288
"45.735175,-111.923874",1779
"46.046681,-112.699238",1804
"45.454174,-112.072700",2325
"45.948251,-112.755726",2060
"45.704423,-112.436050",2150
"45.946381,-111.503941",1262
"45.456857,-112.326386",1472
"45.325321,-111.913739",2122
"46.179849,-112.828004",1484
"44.741942,-111.182902",1992
"45.851618,-112.191421",1402
"45.766631,-111.632061",1373
"45.642317,-113.534189",1888
"45.602186,-113.030793",2734
"46.856398,-114.014338",973
"46.903957,-113.919267",1320
"46.796608,-113.950416",1609
"46.875845,-114.233484",1759
"46.971063,-114.111212",1081
"46.898852,-114.625586",1363
"47.173341,-114.077435",945
"46.919805,-113.577728",1670
"47.422742,-114.203035",886
"46.613165,-113.734648",1964
"47.373869,-113.792079",1821
"45.885625,-114.004115",1895
"46.329795,-113.976229",1725
"45.776445,-114.295574",1737
"47.424528,-115.343643",1603
"47.260120,-114.368312",1588
"46.688956,-113.252857",1450
"46.648475,-114.058793",975
"47.079611,-114.221797",1896
"46.540302,-113.255399",1432
"46.185492,-114.193659",1193
"46.334211,-114.222998",1207
"47.330254,-115.437901",1221
"46.832595,-112.965761",1436
"48.058227,-115.974258",690
"47.690232,-114.554576",1328
"47.151810,-114.513148",1188
"46.702089,-114.460596",1658
"47.699498,-114.693293",1031
"46.871546,-113.876570",1002
"48.042017,-115.790724",1890
"47.027458,-113.086185",1346
"47.605510,-114.118589",944
"47.312876,-114.747243",1776
"46.285772,-113.467406",1885
"47.535214,-114.826544",1267
"47.706523,-114.172820",880
"47.300226,-114.182539",1121
"47.529251,-114.109302",928
"47.330512,-114.010198",1006
"47.328333,-115.205038",1407
"47.439915,-115.612263",1674
"47.211792,-113.506003",1337
"46.516308,-114.063450",1044
"45.870693,-113.819372",2105
"47.110018,-114.900920",1084
"47.667722,-115.295751",1599
"47.799431,-115.623420",1061
"46.419841,-114.314609",2269
"48.229649,-114.385053",932
"47.794925,-114.294145",912
"47.738548,-113.740936",1599
"48.408842,-114.154162",1008
"48.432596,-113.960834",1769
"47.858197,-114.281831",896
"47.848129,-114.405200",1215
"48.256890,-113.382735",1725
"48.934673,-114.876678",1692
"48.768101,-114.859061",1007
"47.958549,-113.239590",1645
"48.002764,-114.608268",1566
"47.998206,-114.198521",960
"48.225917,-115.391814",1712
"48.044415,-114.832615",1217
"48.351854,-113.995044",1357
"48.594965,-114.712167",1273
"48.776729,-114.461960",2081
"47.927434,-114.369341",1154
"48.866732,-115.133187",1091
"47.914636,-114.174980",1001
"48.057999,-114.192423",880
"48.682382,-114.772578",1013
"48.600295,-114.898300",1176
"48.649762,-115.834835",1578
"48.627171,-113.807330",1647
"48.406092,-114.532766",1358
"42.471741, -88.084493",231
"42.112780, -87.979542",211
"42.064490, -87.985462",219
"42.008600, -87.997340",209
"42.069786, -88.016221",218
"42.146494, -88.164651",261
"42.272492, -88.314084",260
"42.223439, -88.235506",260
"42.232414, -88.327449",279
"42.173809, -87.878173",206
"42.049573, -87.895003",198
"41.979388, -87.894358",193
"42.389054, -88.173346",231
"42.194697, -88.217108",245
"42.135423, -87.761882",212
"42.075201, -87.821026",207
"42.092234, -87.837445",201
"42.059253, -87.778339",198
"42.337078, -88.044326",244
"42.373574, -87.939353",219
"42.424786, -88.608011",303
"42.456318, -88.419695",278
"42.185968, -87.805939",212
"42.206363, -87.813098",213
"42.364552, -88.151120",226
"42.278206, -88.196627",230
"42.088859, -87.714588",193
"42.284408, -87.862297",208
"42.235997, -87.864777",204
"42.416323, -88.059119",253
"42.203134, -88.044208",234
"42.295408, -87.950611",211
"42.331147, -88.295180",252
"42.354910, -88.229132",229
"42.042336, -87.788946",196
"42.067166, -87.934719",210
"42.270103, -88.039292",250
"42.234909, -87.959135",210
"42.126279, -87.845088",205
"42.324027, -87.856704",210
"42.106323, -88.064337",239
"42.011762, -87.843434",198
"42.196594, -87.924704",202
"42.103663, -87.928972",199
"42.468405, -88.315683",257
"42.406704, -88.305861",263
"42.348824, -88.109581",239
"42.131462, -88.026329",231
"42.035260, -87.729928",190
"42.034746, -87.757188",193
"42.451014, -88.225410",253
"42.436276, -87.941752",212
"42.269669, -88.140911",242
"42.352097, -87.867656",218
"42.403085, -87.850836",201
"42.309632, -87.844061",199
"42.167231, -87.964063",208
"42.129614, -87.921503",200
"42.077788, -87.720570",192
"42.106708, -87.756292",191
"42.479722, -87.824805",200
"42.396983, -88.369978",258
"42.326265, -88.456087",277
"42.459988, -87.865021",223
"41.930516, -88.016937",214
"42.165165, -88.308768",258
"41.980546, -88.204761",246
"41.882844, -87.876430",197
"41.959701, -87.941835",207
"42.020586, -88.177771",241
"41.950022, -88.091865",243
"42.049807, -88.545918",282
"42.114687, -88.291866",219
"42.009497, -88.805358",268
"41.924797, -88.690186",277
"41.932247, -88.965872",271
"41.901277, -88.761435",270
"42.106259, -88.304383",245
"41.851532, -88.476450",243
"42.034492, -88.238396",233
"42.040644, -88.311296",253
"42.020169, -88.400686",266
"41.896843, -87.941240",215
"42.008121, -88.974996",239
"41.866433, -87.817396",192
"41.938755, -87.884263",202
"41.977842, -88.143199",251
"41.878343, -88.342066",229
"42.112495, -88.670862",251
"42.105438, -88.380571",271
"41.865213, -88.061479",238
"41.918877, -88.078095",245
"42.079040, -88.513208",282
"41.857845, -87.838010",194
"42.173954, -88.444595",264
"41.975335, -88.022464",215
"41.835957, -88.520644",244
"42.084569, -88.773820",257
"42.099982, -88.874061",238
"41.873571, -88.020766",227
"41.925800, -88.891997",272
"41.918475, -88.574468",261
"42.237802, -88.625501",265
"41.879283, -87.843251",193
"41.847472, -87.891640",198
"41.857694, -87.856223",191
"42.203613, -88.320701",264
"41.975252, -88.056054",238
"41.904144, -87.860665",195
"41.867531, -87.902184",201
"41.888819, -87.909053",205
"41.917512, -87.900699",201
"41.903215, -87.880713",199
"42.050870, -88.116615",246
"41.925046, -87.838372",195
"41.979850, -88.089628",244
"42.051556, -88.055522",226
"41.930652, -88.298614",248
"41.948188, -88.388701",253
"41.958125, -87.868886",192
"41.988481, -88.310167",243
"42.008032, -88.661107",259
"42.225262, -88.524527",256
"41.876897, -87.976328",216
"41.951502, -88.253170",234
"41.896691, -88.211014",236
"41.872720, -88.112442",233
"41.915737, -88.129434",230
"41.840632, -88.122024",238
"41.871784, -88.157015",229
"41.966306, -87.980851",212
"42.063272, -88.203662",254
"42.009666, -88.096644",246
"42.034820, -88.110285",250
"42.074962, -88.086284",243
"42.056214, -87.692402",185
"42.030355, -87.685549",191
"42.049045, -87.717453",187
"41.888545, -87.798933",197
"41.894609, -87.789711",200
"41.872389, -87.789483",188
"41.894875, -87.819064",198
"41.343966, -87.616389",225
"41.835216, -87.791373",187
"41.553739, -88.134185",183
"41.514026, -88.223228",186
"41.654945, -87.681952",193
"41.234907, -88.261302",176
"41.263739, -88.215536",179
"41.613641, -87.552122",185
"41.423643, -88.201754",159
"41.508774, -87.590314",196
"41.702967, -87.778864",184
"41.293908, -88.283101",169
"41.427585, -87.586149",216
"41.629149, -87.598820",185
"41.088287, -88.416970",191
"41.431182, -88.099710",188
"41.536963, -87.684139",211
"41.477349, -87.832419",229
"41.164148, -88.327716",181
"41.545577, -87.611725",195
"41.610343, -87.653395",187
"41.599800, -87.690567",188
"41.574029, -87.683706",197
"41.558880, -87.664442",204
"41.509668, -88.180211",172
"41.541747, -88.034728",201
"41.499502, -88.043681",197
"41.548590, -88.128928",196
"41.486888, -88.129295",156
"41.162929, -88.560435",203
"41.566242, -87.550204",197
"41.676906, -87.977229",208
"41.700600, -88.075006",212
"41.592639, -88.050043",200
"41.392698, -87.963468",208
"41.502184, -87.748201",217
"41.243115, -88.402732",173
"41.634390, -87.736395",192
"41.631698, -88.106903",207
"41.487239, -88.322166",174
"41.537785, -87.892451",216
"41.417550, -87.778885",246
"41.366293, -88.434561",160
"41.509217, -87.960579",207
"41.606984, -87.753523",204
"41.713436, -87.752560",186
"41.742093, -87.808649",188
"41.731248, -87.731134",189
"41.724657, -87.828048",211
"41.753401, -87.826941",191
"41.744431, -87.768576",190
"40.998479, -88.536714",221
"41.522116, -87.700733",218
"41.625307, -87.832930",219
"41.662446, -87.789969",194
"41.662840, -87.860756",215
"41.698023, -87.829143",181
"41.477816, -87.683188",219
"41.601860, -87.887323",216
"41.335283, -87.810291",214
"41.628359, -87.687037",186
"41.168970, -88.641026",211
"41.478971, -87.734059",228
"41.643075, -87.708082",187
"41.597379, -87.599150",185
"41.179801, -88.266441",177
"41.472540, -87.627508",216
"41.569483, -87.601709",185
"41.572143, -87.789250",215
"41.563453, -87.725409",210
"41.232384, -88.526396",193
"41.729231, -87.881134",187
"41.285524, -88.110548",181
"41.687843, -87.789946",189
"41.443818, -87.710988",234
"41.562730, -87.834416",218
"41.669320, -88.145399",196
"41.602523, -87.962618",236
"41.780221, -87.823244",185
"41.790651, -88.259738",225
"41.712127, -88.255180",212
"41.747452, -88.238622",215
"41.764527, -88.294658",221
"41.765703, -88.363853",212
"41.841141, -88.306602",206
"41.758993, -88.551993",216
"41.701600, -88.439790",198
"41.825059, -87.847546",192
"41.795689, -87.962155",225
"41.810554, -88.022796",228
"41.761302, -88.013394",231
"41.740329, -88.042149",237
"41.598842, -88.919741",209
"41.777818, -88.242612",224
"41.787267, -88.667548",233
"41.800683, -87.928172",224
"41.836558, -87.953278",209
"41.783830, -87.871802",203
"41.831794, -87.873995",199
"41.743074, -87.929214",222
"41.797084, -88.952274",292
"41.619207, -88.787498",218
"41.789443, -88.083984",204
"41.813484, -87.823564",193
"41.597542, -88.549959",195
"41.560474, -88.604139",176
"41.726871, -88.338195",193
"41.827240, -88.336209",216
"41.764670, -88.145428",211
"41.513344, -88.532398",226
"41.809626, -88.352573",218
"41.664136, -88.317818",204
"41.614138, -88.218784",194
"41.678691, -88.537120",201
"41.837923, -87.821859",193
"41.649593, -88.640479",206
"41.502537, -88.739635",192
"41.779872, -88.861945",273
"41.524931, -88.687441",180
"41.666888, -88.706507",215
"41.826254, -89.040056",242
"41.776684, -88.457062",218
"41.822167, -88.180773",217
"41.762915, -88.771125",245
"41.448102, -88.760078",157
"41.805603, -87.901039",211
"41.794371, -87.972860",237
"41.608220, -88.429346",220
"41.745663, -87.981494",234
"41.790146, -88.203829",216
"41.706073, -88.195394",205
"41.730729, -88.124336",208
"41.657058, -88.225243",203
"41.571567, -88.238218",187
"41.885310, -87.622116",191
"41.883073, -87.629149",191
"41.880188, -87.625509",223
"41.878095, -87.628461",197
"41.867566, -87.617228",180
"41.882066, -87.637349",189
"41.874930, -87.651596",176
"41.846880, -87.670664",180
"41.812680, -87.656935",182
"41.906772, -87.632231",190
"41.895700, -87.613775",175
"41.880320, -87.687749",183
"41.956949, -87.654272",184
"41.922714, -87.649577",185
"41.801647, -87.596288",185
"41.844883, -87.624032",184
"41.718197, -87.552739",180
"41.946962, -87.702548",179
"41.743690, -87.605526",181
"41.740497, -87.652558",186
"41.776382, -87.639572",186
"41.902172, -87.683337",189
"41.848897, -87.717661",183
"41.880504, -87.724444",186
"41.973292, -87.700351",185
"42.010019, -87.667095",186
"41.690875, -87.615773",181
"41.775868, -87.711496",188
"41.972071, -87.756569",187
"41.994855, -87.813003",202
"41.810166, -87.713252",183
"41.663809, -87.561470",185
"41.946189, -87.806117",195
"41.775739, -87.669064",184
"41.781621, -87.599876",184
"41.781430, -87.770520",192
"41.920552, -87.756054",188
"41.972872, -87.662604",187
"41.946606, -87.746787",187
"41.902042, -87.658544",179
"41.700273, -87.663267",197
"41.880084, -87.756373",187
"42.008558, -87.694735",186
"41.993019, -87.759627",198
"41.921215, -87.701028",183
"41.763420, -87.565879",182
"41.902093, -87.740857",187
"41.747932, -87.714795",190
"41.819962, -87.605984",188
"41.892289, -87.637271",182
"41.694776, -87.703777",192
"41.974280, -87.827132",199
"41.940293, -87.646857",183
"41.991488, -87.703986",184
"41.991110, -87.663076",184
"41.883030, -87.644101",191
"41.964257, -87.816242",201
"41.921853, -87.807282",199
"42.005432, -87.733239",187
"42.028057, -87.810967",202
"41.674038, -87.736170",185
"41.838036, -87.759870",185
"41.722001, -87.702446",191
"41.649434, -87.633572",185
"41.109505, -87.897917",190
"41.080494, -87.809612",195
"40.880243, -87.976584",204
"40.973619, -87.603476",194
"41.146985, -88.061778",195
"41.187368, -87.861802",218
"41.146304, -87.861046",200
"41.046818, -88.185472",199
"40.594970, -88.025670",211
"40.987875, -88.237518",213
"41.029257, -88.304970",197
"40.731456, -88.297018",236
"41.010925, -87.919290",205
"40.551009, -87.886524",205
"40.566351, -87.823657",205
"40.938489, -87.972776",199
"40.741660, -87.849011",200
"40.874974, -88.289163",216
"40.829913, -88.002574",203
"40.889327, -87.588141",210
"40.463312, -87.805561",215
"40.464728, -88.271912",235
"40.958061, -88.353047",219
"41.170447, -88.175861",179
"40.467849, -88.351997",236
"40.773028, -87.988260",201
"41.249777, -87.642858",215
"41.041988, -88.082084",199
"40.465380, -87.661377",225
"40.828189, -87.584213",204
"40.916505, -88.202897",210
"40.532765, -88.071269",230
"40.378337, -88.105151",231
"41.252724, -87.884400",203
"40.914602, -87.755127",188
"40.562795, -88.250366",248
"40.629577, -87.688641",208
"41.147708, -87.622516",192
"40.699506, -87.969261",202
"40.443066, -88.136091",228
"41.064833, -87.591359",202
"40.789695, -88.181996",203
"40.438957, -87.890723",224
"41.109567, -88.221504",181
"40.626121, -88.187136",235
"40.366679, -87.648421",211
"41.038816, -87.744203",206
"40.751503, -87.583223",211
"40.672352, -88.119538",210
"41.110975, -88.149737",185
"40.796024, -87.734451",188
"40.541685, -87.663146",214
"40.719013, -87.733847",197
"42.465816, -90.110232",301
"41.861762, -89.202281",241
"42.197755, -89.589505",278
"42.244290, -88.841131",250
"42.134590, -89.274106",216
"42.392526, -88.897904",286
"42.401445, -88.764558",280
"42.372123, -89.639278",246
"41.974687, -89.884447",246
"41.996752, -89.197077",257
"42.197297, -88.947723",218
"42.415263, -89.555222",258
"42.439512, -89.410047",282
"42.110183, -89.098207",240
"41.827392, -89.479188",233
"42.436415, -89.297114",245
"42.471378, -90.555965",227
"42.330909, -89.757279",276
"42.298465, -90.175881",244
"42.119648, -89.591624",277
"41.832071, -89.311588",240
"42.318004, -89.636784",235
"42.413677, -90.375911",255
"41.789331, -89.760294",200
"42.265818, -88.737964",237
"42.208868, -89.467558",242
"42.273156, -90.311245",221
"41.687626, -89.562791",199
"42.056438, -89.105241",263
"42.318788, -89.915091",273
"42.104394, -89.811739",260
"42.153152, -89.395916",259
"42.382631, -89.841219",292
"42.049626, -89.008914",241
"42.440288, -89.734143",245
"41.982781, -89.754875",237
"42.111372, -88.999555",255
"42.120819, -89.983297",242
"42.054974, -89.449449",277
"41.829260, -89.382044",241
"42.453165, -89.940174",306
"42.478161, -89.621909",289
"41.997917, -89.341656",212
"42.250635, -89.835749",284
"42.319493, -89.340658",223
"41.987852, -89.582338",270
"42.400588, -88.836952",285
"42.305046, -89.478928",225
"41.945817, -89.060013",246
"42.416818, -89.473074",279
"41.724673, -89.698867",198
"42.442353, -89.138490",220
"42.423732, -88.993797",241
"42.124371, -90.122436",213
"42.464451, -90.258916",278
"42.238138, -89.357813",271
"42.165921, -89.729005",270
"42.437245, -89.216208",220
"42.481345, -88.983833",236
"41.833205, -89.737983",232
"42.123586, -89.190074",222
"42.341809, -90.032187",281
"42.480214, -89.992629",307
"42.268114, -89.262689",264
"42.473424, -89.819325",272
"41.906863, -89.527713",239
"42.346079, -89.146087",259
"42.228769, -89.162524",255
"42.340261, -89.086492",237
"42.251720, -89.079945",227
"42.285452, -89.001644",268
"42.257371, -89.002129",263
"42.191304, -89.055756",251
"42.335503, -89.002745",263
"42.241981, -88.975184",236
"42.306605, -88.990894",269
"42.364306, -89.027467",227
"41.477559, -90.575628",208
"41.734087, -90.213132",198
"41.210670, -90.717799",228
"41.430737, -90.732438",215
"41.417963, -89.914339",191
"41.401294, -90.023559",209
"41.515956, -90.367807",173
"41.282483, -90.172661",225
"41.480837, -90.381916",176
"41.421147, -90.428612",217
"41.488590, -90.321070",189
"41.708009, -90.285148",182
"41.618771, -89.682944",196
"41.522559, -90.390822",176
"41.655926, -90.112419",179
"41.730595, -90.075699",217
"41.836910, -90.125373",202
"41.467230, -90.149630",192
"41.547847, -90.407527",213
"41.593358, -90.221845",205
"41.521564, -89.914010",192
"41.392567, -90.954365",214
"41.245928, -90.884393",201
"41.726842, -89.911219",188
"41.276069, -90.348286",212
"41.258847, -90.604730",224
"41.402799, -90.595864",222
"41.482333, -90.493407",209
"41.826598, -89.963451",223
"41.253608, -91.004598",178
"41.362901, -90.398881",238
"41.368573, -90.276974",235
"41.605575, -90.307048",213
"41.304077, -90.589916",242
"41.613582, -89.930578",186
"41.582027, -90.336731",200
"41.320528, -90.726796",246
"41.299780, -90.520144",249
"41.495565, -90.412990",211
"41.591859, -89.786563",196
"41.394212, -90.751797",241
"41.985776, -90.058320",247
"41.397423, -89.084264",197
"41.702418, -89.354497",229
"41.037692, -88.860016",190
"41.436355, -89.234905",215
"41.073694, -88.668671",221
"41.296481, -89.678495",224
"41.287804, -89.364517",149
"41.259082, -89.124987",200
"41.431454, -89.208916",210
"41.711285, -89.078271",293
"41.018416, -88.742318",197
"41.354676, -89.170458",197
"40.969276, -88.973147",208
"41.314131, -89.317590",133
"41.433059, -89.396789",225
"41.769914, -89.413892",246
"41.234953, -88.809633",194
"41.246245, -89.229713",220
"41.226710, -89.311467",186
"41.499544, -89.459257",222
"41.375034, -89.180739",197
"41.535272, -89.266957",238
"41.747703, -89.277542",248
"41.188769, -88.988778",210
"40.989245, -88.888154",195
"41.145113, -89.098451",206
"41.165748, -89.218354",203
"41.112606, -89.231916",202
"41.436413, -89.328430",221
"41.458737, -89.676107",220
"41.261250, -89.250157",214
"41.352165, -88.693197",210
"41.543677, -89.084088",221
"41.411154, -89.839694",187
"41.280245, -89.794395",241
"41.511190, -89.718402",193
"41.285723, -89.035197",195
"41.544823, -89.442299",255
"41.372095, -88.865127",191
"41.704316, -88.991053",285
"41.327928, -89.143248",192
"41.396035, -89.413241",220
"40.978724, -89.044023",217
"41.362452, -89.271459",189
"41.328215, -88.600511",187
"41.413064, -89.756154",191
"41.358708, -89.233220",200
"41.254185, -89.182339",208
"41.127938, -88.841173",195
"41.621412, -89.259488",274
"41.262136, -89.517537",211
"40.984046, -89.155061",215
"41.199778, -89.038477",208
"41.464900, -89.078018",197
"41.407228, -88.995936",189
"41.547712, -89.358725",241
"41.035173, -89.243431",213
"41.545347, -89.613262",217
"41.061382, -89.034038",204
"41.722671, -89.155402",240
"41.390795, -89.606980",201
"40.944205, -90.385824",233
"40.796475, -90.396007",221
"40.400982, -90.502128",197
"41.078398, -90.579715",219
"41.186590, -90.370422",246
"41.124679, -90.155739",232
"40.656310, -90.431270",193
"40.499397, -90.562897",204
"40.774174, -90.538320",209
"40.850174, -90.862586",207
"41.199461, -90.117460",249
"40.547734, -90.866967",217
"41.187539, -89.647935",238
"40.551362, -90.532761",193
"40.886282, -90.501204",234
"41.076767, -89.634994",252
"40.759242, -91.040150",164
"41.119997, -89.706980",237
"40.508521, -90.183878",201
"40.943829, -90.107135",212
"40.939105, -90.310833",234
"40.608009, -90.276497",195
"40.648385, -90.153167",215
"40.554375, -90.168989",202
"41.183842, -90.038489",241
"40.975148, -90.544946",232
"40.860149, -90.223174",207
"40.846879, -90.992327",159
"40.582743, -90.651654",224
"41.028467, -90.357031",243
"40.305582, -90.598626",198
"40.338564, -90.277187",183
"41.108865, -90.921684",166
"41.263671, -89.944897",239
"40.866806, -90.754347",228
"40.933602, -90.246806",208
"41.095042, -89.975133",224
"40.578637, -90.979104",208
"40.938697, -89.939478",217
"40.236190, -90.660627",211
"41.012202, -90.764135",180
"40.681930, -91.039891",207
"40.440468, -90.638016",209
"40.782237, -90.183157",166
"40.510245, -90.419564",192
"40.716661, -90.829174",229
"40.923313, -90.644576",230
"41.210673, -90.479667",240
"41.110013, -90.479663",229
"41.076365, -90.240803",243
"41.257745, -90.387780",210
"40.955988, -90.908236",170
"40.603863, -90.504840",200
"40.697480, -90.834837",229
"41.102144, -90.382871",241
"40.707687, -90.640428",227
"40.736456, -90.380402",206
"40.597924, -90.753451",234
"41.099146, -90.833940",193
"40.495994, -90.310552",175
"40.757855, -90.760645",225
"41.004790, -89.644768",230
"40.727421, -90.913356",215
"40.384629, -90.408207",205
"41.084830, -89.881372",213
"40.299710, -90.435260",200
"41.021282, -90.102912",249
"41.194794, -90.576436",238
"41.032242, -90.318324",248
"40.930858, -90.033162",214
"41.185531, -90.258712",239
"41.054464, -89.730734",207
"40.228366, -90.311915",196
"40.858083, -89.135201",227
"40.828373, -89.844846",202
"40.460070, -90.088956",183
"40.539026, -90.023221",198
"40.911930, -89.537770",159
"40.491321, -90.034735",196
"40.848482, -89.669082",206
"40.922901, -89.619957",239
"40.778970, -89.722981",212
"40.782018, -89.937608",192
"40.714296, -89.260092",236
"40.682505, -90.036794",226
"40.339487, -89.818789",155
"40.586374, -89.842499",193
"40.414441, -89.666079",166
"40.578864, -89.516514",221
"40.689425, -89.793782",225
"41.119166, -89.471442",199
"40.556403, -89.762073",142
"41.014600, -89.366597",201
"40.980378, -89.234952",205
"40.389729, -90.130236",175
"40.420832, -89.964909",131
"40.693648, -90.235793",180
"40.870710, -89.353494",214
"40.448338, -89.809589",158
"40.580796, -89.720965",184
"40.814012, -89.419925",222
"40.610249, -89.441854",218
"40.817660, -89.565721",138
"40.625932, -90.032265",224
"40.539343, -89.618320",181
"40.919018, -89.779203",225
"41.187262, -89.419790",190
"40.802862, -89.200878",230
"40.880395, -89.501542",143
"40.492024, -90.054216",192
"40.493466, -89.653494",157
"41.038714, -89.505036",218
"40.358139, -89.896566",160
"40.510560, -89.481508",195
"40.683232, -89.900619",225
"40.921070, -89.325771",206
"40.704146, -89.417889",232
"40.803170, -90.044471",182
"40.674562, -89.608597",142
"40.712882, -89.576722",190
"40.705715, -89.653644",151
"40.676584, -89.633277",162
"40.699812, -89.611490",185
"40.627135, -89.685132",189
"40.642116, -89.599560",203
"40.713242, -89.535841",143
"40.759136, -89.604123",242
"40.737893, -89.686781",150
"40.746726, -89.571641",240
"40.697615, -89.612701",190
"40.476769, -88.992994",255
"40.471127, -88.944538",259
"40.412620, -88.895569",262
"40.554670, -88.514468",231
"40.350757, -89.323483",193
"40.418661, -88.632370",252
"40.264664, -89.276542",217
"40.322856, -88.533248",230
"40.610560, -89.119118",251
"40.738395, -88.692315",220
"40.142554, -88.960868",215
"40.571735, -88.627336",230
"40.628659, -89.221294",227
"40.532486, -88.729413",237
"40.613947, -88.485525",240
"40.529638, -89.208063",232
"40.618858, -89.336899",220
"40.375637, -89.512968",198
"40.200639, -88.814798",227
"40.402310, -88.840561",260
"40.464516, -88.745295",269
"40.744994, -89.029988",226
"40.732942, -88.520725",217
"40.884263, -88.861634",202
"40.759435, -88.404270",213
"40.635275, -89.268459",227
"40.875664, -88.781679",198
"40.739971, -88.887112",224
"40.324880, -88.971071",234
"40.416123, -89.435255",196
"40.622347, -88.996766",229
"40.092849, -89.116222",193
"40.123545, -88.859650",222
"40.214556, -89.299252",182
"40.339590, -88.754232",230
"40.629726, -88.787987",227
"40.333755, -89.181944",203
"40.528022, -89.337173",206
"40.031242, -88.973447",213
"40.437314, -89.336061",191
"40.879243, -89.021795",224
"40.529016, -88.958935",254
"40.882442, -88.628136",199
"40.882009, -88.399364",206
"40.442966, -88.525267",254
"40.702016, -89.131374",222
"40.381256, -89.065969",211
"40.565619, -88.383025",249
"40.430678, -89.203945",201
"40.653696, -88.375962",236
"40.566647, -88.874226",236
"40.244063, -88.945663",229
"40.232881, -89.091171",231
"40.108966, -88.211024",224
"40.131498, -88.156770",211
"39.916122, -87.914791",209
"40.292742, -87.622848",203
"40.226685, -87.911218",236
"39.910756, -88.565713",204
"40.230607, -87.572471",226
"40.110752, -88.376547",219
"39.922809, -88.001216",209
"40.035275, -87.716283",212
"39.886711, -88.716499",221
"40.107890, -88.244266",223
"40.109646, -88.274903",238
"40.136481, -88.305307",229
"40.033078, -88.716508",212
"40.225090, -87.792070",210
"40.136234, -87.636466",189
"40.099747, -87.644220",200
"40.152546, -87.673298",208
"40.137717, -88.629166",213
"40.298873, -88.300263",219
"40.020594, -87.816871",203
"40.238677, -88.665395",221
"40.317241, -88.373903",221
"40.142967, -87.869207",199
"40.373621, -88.396814",222
"39.977252, -87.607538",201
"40.319302, -88.011242",236
"40.308060, -87.702771",209
"40.014226, -87.967370",203
"39.931008, -87.738581",207
"39.960820, -88.434724",206
"39.903152, -88.075799",207
"40.214956, -88.421171",237
"40.199872, -88.529328",221
"39.922139, -88.660929",219
"40.026762, -88.580118",207
"40.116554, -87.842280",199
"40.134258, -87.761877",195
"40.150428, -87.962905",205
"40.306027, -87.958606",222
"39.905255, -88.278472",215
"39.975064, -88.152723",207
"40.304925, -87.802464",208
"40.312587, -88.154549",232
"39.897549, -87.618389",224
"40.190222, -87.968042",207
"39.945376, -88.378110",209
"40.133896, -88.039122",204
"40.047157, -88.256753",225
"40.103485, -88.416420",217
"39.901327, -87.836174",208
"39.989192, -88.081601",208
"40.242651, -88.145453",222
"39.973795, -88.248906",220
"40.106230, -88.754729",215
"40.037393, -87.641523",209
"40.089160, -88.477814",216
"39.677185, -88.297938",206
"39.700938, -88.469322",200
"39.522387, -88.040820",208
"39.827555, -88.466090",207
"39.630343, -88.762449",201
"39.714200, -87.897725",201
"39.784439, -88.137770",195
"39.512028, -88.154235",202
"39.786183, -87.663252",197
"39.719105, -88.840528",214
"39.451216, -88.501263",230
"39.824789, -88.625797",210
"39.680887, -88.130478",197
"39.586339, -88.349775",204
"39.803595, -87.879047",197
"39.546695, -87.926758",215
"39.801351, -88.730259",217
"39.741355, -88.654821",199
"39.484141, -88.374771",224
"39.807701, -87.818525",200
"39.804067, -88.072940",196
"39.813836, -87.996741",196
"39.673103, -88.030850",198
"39.600845, -87.700643",224
"39.633642, -87.873648",204
"39.595754, -88.590280",194
"39.803409, -88.291339",199
"39.582172, -87.591665",202
"39.858190, -88.135009",199
"39.441804, -88.611557",214
"38.881444, -89.744999",169
"38.938538, -90.125303",139
"39.053054, -90.669715",167
"39.091549, -89.798118",192
"38.921117, -90.045305",155
"39.126511, -89.216001",193
"39.044749, -90.148200",196
"38.956413, -90.573646",135
"39.043376, -89.951132",206
"39.221451, -89.544038",189
"39.295025, -90.431767",184
"39.065099, -89.368619",185
"38.907779, -90.081320",146
"39.018669, -89.441465",188
"38.983665, -89.976556",188
"39.003162, -90.326185",196
"39.112293, -89.787059",198
"38.875606, -90.073491",162
"38.831391, -89.932326",156
"39.249602, -90.562735",126
"38.958230, -90.354956",174
"39.154621, -90.164239",198
"39.111496, -90.536930",186
"39.115639, -89.288514",194
"39.136567, -89.839885",201
"38.754871, -89.972284",160
"38.962875, -90.242457",174
"38.918311, -90.589735",191
"39.010943, -90.465066",235
